Date,Price (AUD)
2021-07-01,0.01163
2021-07-02,0.01175
2021-07-03,0.01101
2021-07-04,0.01214
2021-07-05,0.0118
2021-07-06,0.01123
2021-07-07,0.01104
2021-07-08,0.01085
2021-07-09,0.01012
2021-07-10,0.00951
2021-07-11,0.0108
2021-07-12,0.01126
2021-07-13,0.01082
2021-07-14,0.01819
2021-07-15,0.01945
2021-07-16,0.01974
2021-07-17,0.01733
2021-07-18,0.0166
2021-07-19,0.01821
2021-07-20,0.01593
2021-07-21,0.01517
2021-07-22,0.01627
2021-07-23,0.01339
2021-07-24,0.01474
2021-07-25,0.02261
2021-07-26,0.02573
2021-07-27,0.0259
2021-07-28,0.03443
2021-07-29,0.03836
2021-07-30,0.03353
2021-07-31,0.02942
2021-08-01,0.03481
2021-08-02,0.03106
2021-08-03,0.02684
2021-08-04,0.02465
2021-08-05,0.02751
2021-08-06,0.02676
2021-08-07,0.02392
2021-08-08,0.02383
2021-08-09,0.0252
2021-08-10,0.02485
2021-08-11,0.02758
2021-08-12,0.03345
2021-08-13,0.0303
2021-08-14,0.02809
2021-08-15,0.02568
2021-08-16,0.02523
2021-08-17,0.02538
2021-08-18,0.02786
2021-08-19,0.02751
2021-08-20,0.02888
2021-08-21,0.02964
2021-08-22,0.02904
2021-08-23,0.03575
2021-08-24,0.03766
2021-08-25,0.03787
2021-08-26,0.03973
2021-08-27,0.04501
2021-08-28,0.04245
2021-08-29,0.04087
2021-08-30,0.03915
2021-08-31,0.0365
2021-09-01,0.03441
2021-09-02,0.0356
2021-09-03,0.03469
2021-09-04,0.03234
2021-09-05,0.03181
2021-09-06,0.03216
2021-09-07,0.03243
2021-09-08,0.03124
2021-09-09,0.0288
2021-09-10,0.03005
2021-09-11,0.02893
2021-09-12,0.02898
2021-09-13,0.02879
2021-09-14,0.06478
2021-09-15,0.06081
2021-09-16,0.07194
2021-09-17,0.14061
2021-09-18,0.15603
2021-09-19,0.16122
2021-09-20,0.15076
2021-09-21,0.12322
2021-09-22,0.13621
2021-09-23,0.14928
2021-09-24,0.1556
2021-09-25,0.13388
2021-09-26,0.12788
2021-09-27,0.11997
2021-09-28,0.11561
2021-09-29,0.10576
2021-09-30,0.11558
2021-10-01,0.13892
2021-10-02,0.13917
2021-10-03,0.14061
2021-10-04,0.15877
2021-10-05,0.15391
2021-10-06,0.14434
2021-10-07,0.13652
2021-10-08,0.13193
2021-10-09,0.13526
2021-10-10,0.13584
2021-10-11,0.1248
2021-10-12,0.12068
2021-10-13,0.11615
2021-10-14,0.11508
2021-10-15,0.12356
2021-10-16,0.12101
2021-10-17,0.1173
2021-10-18,0.11276
2021-10-19,0.1126
2021-10-20,0.11176
2021-10-21,0.11544
2021-10-22,0.11163
2021-10-23,0.11276
2021-10-24,0.11351
2021-10-25,0.10993
2021-10-26,0.11321
2021-10-27,0.12
2021-10-28,0.10027
2021-10-29,0.10679
2021-10-30,0.12287
2021-10-31,0.13937
2021-11-01,0.12756
2021-11-02,0.12102
2021-11-03,0.13025
2021-11-04,0.12793
2021-11-05,0.12455
2021-11-06,0.12396
2021-11-07,0.12274
2021-11-08,0.12295
2021-11-09,0.12361
2021-11-10,0.12097
2021-11-11,0.11205
2021-11-12,0.11832
2021-11-13,0.11495
2021-11-14,0.1291
2021-11-15,0.12784
2021-11-16,0.16415
2021-11-17,0.15947
2021-11-18,0.31973
2021-11-19,0.31861
2021-11-20,0.32339
2021-11-21,0.48697
2021-11-22,0.51986
2021-11-23,0.54202
2021-11-24,0.52336
2021-11-25,0.79505
2021-11-26,1.00186
2021-11-27,1.00311
2021-11-28,0.92332
2021-11-29,0.99787
2021-11-30,0.90975
2021-12-01,0.86696
2021-12-02,0.91126
2021-12-03,0.82381
2021-12-04,0.72466
2021-12-05,0.81146
2021-12-06,0.69193
2021-12-07,0.72617
2021-12-08,0.67091
2021-12-09,0.69847
2021-12-10,0.70026
2021-12-11,0.67035
2021-12-12,0.77638
2021-12-13,0.82866
2021-12-14,0.70941
2021-12-15,0.70206
2021-12-16,0.69521
2021-12-17,0.65382
2021-12-18,0.63508
2021-12-19,0.64861
2021-12-20,0.62536
2021-12-21,0.60801
2021-12-22,0.6203
2021-12-23,0.61011
2021-12-24,0.7126
2021-12-25,0.6573
2021-12-26,0.69453
2021-12-27,0.70879
2021-12-28,0.74721
2021-12-29,0.64821
2021-12-30,0.61889
2021-12-31,0.63714
2022-01-01,0.62573
2022-01-02,0.63727
2022-01-03,0.62898
2022-01-04,0.61437
2022-01-05,0.5904
2022-01-06,0.5261
2022-01-07,0.53702
2022-01-08,0.47756
2022-01-09,0.43983
2022-01-10,0.45596
2022-01-11,0.42773
2022-01-12,0.44532
2022-01-13,0.49363
2022-01-14,0.44865
2022-01-15,0.45005
2022-01-16,0.46776
2022-01-17,0.45504
2022-01-18,0.42322
2022-01-19,0.41743
2022-01-20,0.38621
2022-01-21,0.36202
2022-01-22,0.30155
2022-01-23,0.25221
2022-01-24,0.2745
2022-01-25,0.25851
2022-01-26,0.26208
2022-01-27,0.29636
2022-01-28,0.26955
2022-01-29,0.27234
2022-01-30,0.27583
2022-01-31,0.27236
2022-02-01,0.28037
2022-02-02,0.28684
2022-02-03,0.26291
2022-02-04,0.26081
2022-02-05,0.28736
2022-02-06,0.41397
2022-02-07,0.45405
2022-02-08,0.48919
2022-02-09,0.53114
2022-02-10,0.49838
2022-02-11,0.45734
2022-02-12,0.43041
2022-02-13,0.43215
2022-02-14,0.39495
2022-02-15,0.41459
2022-02-16,0.49594
2022-02-17,0.46438
2022-02-18,0.41859
2022-02-19,0.4045
2022-02-20,0.39326
2022-02-21,0.35214
2022-02-22,0.314
2022-02-23,0.33496
2022-02-24,0.30376
2022-02-25,0.31824
2022-02-26,0.35787
2022-02-27,0.34319
2022-02-28,0.32338
2022-03-01,0.35831
2022-03-02,0.35692
2022-03-03,0.34843
2022-03-04,0.33223
2022-03-05,0.30204
2022-03-06,0.31476
2022-03-07,0.29428
2022-03-08,0.29434
2022-03-09,0.30238
2022-03-10,0.31912
2022-03-11,0.29491
2022-03-12,0.29118
2022-03-13,0.29385
2022-03-14,0.29698
2022-03-15,0.30487
2022-03-16,0.29986
2022-03-17,0.32773
2022-03-18,0.30876
2022-03-19,0.31125
2022-03-20,0.33583
2022-03-21,0.31486
2022-03-22,0.31908
2022-03-23,0.32289
2022-03-24,0.33223
2022-03-25,0.33606
2022-03-26,0.32597
2022-03-27,0.33434
2022-03-28,0.3495
2022-03-29,0.35061
2022-03-30,0.36122
2022-03-31,0.36318
2022-04-01,0.33904
2022-04-02,0.349
2022-04-03,0.34057
2022-04-04,0.35328
2022-04-05,0.33999
2022-04-06,0.3281
2022-04-07,0.29359
2022-04-08,0.30559
2022-04-09,0.28622
2022-04-10,0.30295
2022-04-11,0.29013
2022-04-12,0.26003
2022-04-13,0.27159
2022-04-14,0.27809
2022-04-15,0.2672
2022-04-16,0.27277
2022-04-17,0.27465
2022-04-18,0.26033
2022-04-19,0.26536
2022-04-20,0.26995
2022-04-21,0.26298
2022-04-22,0.25728
2022-04-23,0.26576
2022-04-24,0.25985
2022-04-25,0.25832
2022-04-26,0.25425
2022-04-27,0.22965
2022-04-28,0.24315
2022-04-29,0.23729
2022-04-30,0.21962
2022-05-01,0.18717
2022-05-02,0.20252
2022-05-03,0.19275
2022-05-04,0.19127
2022-05-05,0.22286
2022-05-06,0.19531
2022-05-07,0.20372
2022-05-08,0.19194
2022-05-09,0.18499
2022-05-10,0.15181
2022-05-11,0.15741
2022-05-12,0.09316
2022-05-13,0.1001
2022-05-14,0.13223
2022-05-15,0.14463
2022-05-16,0.14411
2022-05-17,0.12322
2022-05-18,0.12757
2022-05-19,0.11126
2022-05-20,0.12246
2022-05-21,0.11687
2022-05-22,0.12202
2022-05-23,0.12063
2022-05-24,0.11287
2022-05-25,0.11757
2022-05-26,0.11307
2022-05-27,0.10376
2022-05-28,0.0977
2022-05-29,0.10144
2022-05-30,0.10972
2022-05-31,0.11696
2022-06-01,0.11569
2022-06-02,0.10306
2022-06-03,0.10534
2022-06-04,0.10209
2022-06-05,0.10359
2022-06-06,0.10343
2022-06-07,0.12253
2022-06-08,0.10883
2022-06-09,0.10456
2022-06-10,0.1069
2022-06-11,0.09806
2022-06-12,0.08878
2022-06-13,0.08209
2022-06-14,0.08462
2022-06-15,0.0889
2022-06-16,0.09276
2022-06-17,0.07831
2022-06-18,0.08235
2022-06-19,0.07723
2022-06-20,0.08058
2022-06-21,0.08128
2022-06-22,0.08058
2022-06-23,0.07852
2022-06-24,0.08382
2022-06-25,0.08956
2022-06-26,0.09964
2022-06-27,0.0875
2022-06-28,0.08664
2022-06-29,0.08213
2022-06-30,0.08190

